Name,Rating,Address
Texas City Dental - Dentist in Texas City,4.8,"4.8(753) Dentist ·  · 3448 Palmer Hwy
Open · Closes 5 pm Dentist ·  · 3448 Palmer Hwy Open · Closes 5 pm"
Texas Dental,4.9,"4.9(1,540) Dentist ·  · 5132 Village Creek Dr
Open · Closes 2 pm Dentist ·  · 5132 Village Creek Dr Open · Closes 2 pm"
Texas Dental Center,4.9,"4.9(1,018) Dentist ·  · 9801 Bissonnet St Ste K
Open · Closes 6 pm Dentist ·  · 9801 Bissonnet St Ste K Open · Closes 6 pm"
North Texas Dental,4.9,"4.9(2,134) Dentist ·  · 2515 Masters St
Open · Closes 5 pm Dentist ·  · 2515 Masters St Open · Closes 5 pm"
Central Texas Dental Care,4.8,"4.8(387) Dentist ·  · 506 N Hewitt Dr
Open · Closes 5 pm Dentist ·  · 506 N Hewitt Dr Open · Closes 5 pm"
Dental Center of Texas,4.7,"4.7(176) Dentist ·  · 23922 Cinco Village Center Blvd #100
Open · Closes 5 pm Dentist ·  · 23922 Cinco Village Center Blvd #100 Open · Closes 5 pm"
Clinica Dental of Texas,4.6,"4.6(188) Dentist ·  · 11411 E NW Hwy #101
Open · Closes 4 pm Dentist ·  · 11411 E NW Hwy #101 Open · Closes 4 pm"
Datta Sai Dental Hospital,4.5,"4.5(107) Dental clinic ·  · 2-1-392/1/2/3, opposite Fever Hospital Main Road
Open · Closes 9 pm Dental clinic ·  · 2-1-392/1/2/3, opposite Fever Hospital Main Road Open · Closes 9 pm"
Bayview Dental Center,5.0,"5.0(741) Dentist ·  · 1310 34th St N Ste A
Open · Closes 3 pm Dentist ·  · 1310 34th St N Ste A Open · Closes 3 pm"
Texas Dental Clinic - implant & cosmetic dentistry,4.7,"4.7(197) Dentist ·  · Av. Benito Juárez 119
Open · Closes 6 pm Dentist ·  · Av. Benito Juárez 119 Open · Closes 6 pm"
Texas Smile Dental Center,4.7,"4.7(185) Dentist ·  · 2517 S Buckner Blvd
Open · Closes 5 pm Dentist ·  · 2517 S Buckner Blvd Open · Closes 5 pm"
Texas Dental Arts,5.0,"5.0(218) Dentist ·  · 9525 N Beach St #429
Open · Closes 5 pm Dentist ·  · 9525 N Beach St #429 Open · Closes 5 pm"
Turner Dental,4.9,"4.9(526) Dentist ·  · 3118 Buffalo Gap Rd
Open · Closes 5 pm Dentist ·  · 3118 Buffalo Gap Rd Open · Closes 5 pm"
Chimney Rock Family Dental,5.0,"5.0(764) Dentist ·  · 5200 Buffalo Gap Rd Bldg. E
Open · Closes 4 pm Dentist ·  · 5200 Buffalo Gap Rd Bldg. E Open · Closes 4 pm"
Abilene Dental,4.8,"4.8(611) Dentist · 5309 Buffalo Gap Rd
Open · Closes 4 pm Dentist · 5309 Buffalo Gap Rd Open · Closes 4 pm"
Reality Bites Dental - Texas,4.8,"4.8(331) Dentist ·  · 20079 Stone Oak Pkwy Ste 2102
Open · Closes 5 pm Dentist ·  · 20079 Stone Oak Pkwy Ste 2102 Open · Closes 5 pm"
6 to 9 Dental Texas,4.9,"4.9(133) Dentist ·  · 2603 SE Military Dr Ste 103
Closed · Opens 10 am Dentist ·  · 2603 SE Military Dr Ste 103 Closed · Opens 10 am"
Southwest Dental Group,4.9,"4.9(2,102) Dentist ·  · 2425 Antilley Rd
Open · Closes 5 pm Dentist ·  · 2425 Antilley Rd Open · Closes 5 pm"
Smile Crafters,4.7,"4.7(677) Dentist ·  · 1034 N Willis St
Open · Closes 5 pm Dentist ·  · 1034 N Willis St Open · Closes 5 pm"
Estes Family Dentistry,4.9,"4.9(686) Dentist ·  · 1809 Pine St
Open · Closes 12:30 pm · Reopens 1:30 pm Dentist ·  · 1809 Pine St Open · Closes 12:30 pm · Reopens 1:30 pm"
Leedy Dental,5.0,"5.0(702) Dentist ·  · 2902 S 27th St
Open · Closes 4 pm Dentist ·  · 2902 S 27th St Open · Closes 4 pm"
ACHIEVE DENTAL,4.8,"4.8(680) Dentist ·  · 309 NE Georgia Ave #124
Open · Closes 5 pm Dentist ·  · 309 NE Georgia Ave #124 Open · Closes 5 pm"
"Godley Family Dentistry - Dr. Erick Marquez, DDS",4.9,"4.9(331) Dentist ·  · 8905 State Hwy 171
Open · Closes 4 pm Dentist ·  · 8905 State Hwy 171 Open · Closes 4 pm"
"Key City Dental Studio: Karen Key, DDS",4.9,"4.9(87) Dentist ·  · 2201 S Danville Dr
Open · Closes 12 pm · Reopens 1 pm Dentist ·  · 2201 S Danville Dr Open · Closes 12 pm · Reopens 1 pm"
Crown Dental,4.5,"4.5(860) Dentist ·  · 931 Farm to Market Rd 1821 Ste C
Open · Closes 5 pm Dentist ·  · 931 Farm to Market Rd 1821 Ste C Open · Closes 5 pm"
Toogood Dental,5.0,"5.0(657) Dentist ·  · 4373 Treanor Dr
Open · Closes 5 pm Dentist ·  · 4373 Treanor Dr Open · Closes 5 pm"
Abilene Dental Care - West,4.7,"4.7(860) Dentist ·  · 3390 S 27th St
Open · Closes 5 pm Dentist ·  · 3390 S 27th St Open · Closes 5 pm"
